                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.88981,                0.42564,                 1.0673,                0.97125,                0.97833,                0.99049,                0.79445,                0.95041,                0.38458,                 1.1187,             0.00024772,             0.00024772,             0.00024772
                    131,                0.87964,                0.42908,                 1.0645,                0.97673,                0.97005,                 0.9903,                0.79399,                0.94622,                0.38708,                 1.1174,             0.00023671,             0.00023671,             0.00023671
                    132,                0.87871,                0.42197,                 1.0564,                0.97148,                0.97884,                0.98982,                0.79265,                0.94927,                  0.387,                 1.1201,             0.00022571,             0.00022571,             0.00022571
                    133,                 0.8775,                0.42694,                 1.0609,                  0.979,                0.97681,                0.99091,                0.79317,                0.94069,                0.38077,                 1.1144,             0.00021471,             0.00021471,             0.00021471
                    134,                0.86713,                0.41786,                 1.0539,                0.97669,                0.97666,                0.98963,                0.79408,                0.93902,                0.38281,                 1.1138,             0.00020371,             0.00020371,             0.00020371
                    135,                 0.8693,                0.41662,                 1.0542,                 0.9776,                0.96768,                0.98918,                0.79309,                0.94328,                 0.3845,                 1.1173,             0.00019271,             0.00019271,             0.00019271
                    136,                0.87122,                0.42354,                 1.0639,                0.97778,                0.97356,                0.99054,                0.79102,                0.93557,                0.38272,                 1.1126,              0.0001817,              0.0001817,              0.0001817
                    137,                0.87641,                0.42079,                 1.0541,                0.96502,                0.98224,                0.99082,                0.79725,                0.93645,                0.38216,                 1.1137,              0.0001707,              0.0001707,              0.0001707
                    138,                0.86477,                0.42552,                 1.0554,                0.97075,                0.97484,                0.99071,                0.79892,                0.93084,                0.38097,                  1.109,              0.0001597,              0.0001597,              0.0001597
                    139,                0.87362,                0.41945,                 1.0586,                 0.9778,                0.97086,                0.98906,                 0.7972,                0.93197,                0.37764,                 1.1091,              0.0001487,              0.0001487,              0.0001487
                    140,                0.85436,                0.41338,                 1.0472,                0.97909,                0.97413,                0.99022,                0.79274,                0.94167,                0.38335,                 1.1158,             0.00013769,             0.00013769,             0.00013769
                    141,                0.84296,                0.39814,                 1.0824,                0.97897,                0.96376,                0.98908,                0.78786,                0.94699,                0.39067,                 1.1208,             0.00012669,             0.00012669,             0.00012669
                    142,                0.82989,                0.38356,                 1.0662,                0.98357,                0.96604,                0.99077,                0.79443,                0.94584,                0.38791,                 1.1205,             0.00011569,             0.00011569,             0.00011569
                    143,                0.82551,                0.38753,                 1.0636,                0.98399,                  0.968,                0.98985,                0.79514,                0.93016,                0.38248,                 1.1109,             0.00010469,             0.00010469,             0.00010469
